test_case,solver,T_start,alpha,T_end,iter_per_T,run_id,f_days,Z_slots,runtime_s,valid
TC_04,SA,50.0,0.95,0.1,10,2,2,6,0.042,true
TC_04,SA,50.0,0.95,0.1,10,3,2,6,0.046,true
TC_04,SA,50.0,0.95,0.1,10,4,2,6,0.043,true
TC_04,SA,50.0,0.95,0.1,10,5,2,6,0.043,true
TC_04,SA,50.0,0.99,0.1,10,1,2,6,0.049,true
TC_04,SA,50.0,0.99,0.1,10,2,2,6,0.035,true
TC_04,SA,50.0,0.99,0.1,10,3,2,6,0.037,true
TC_04,SA,50.0,0.99,0.1,10,4,2,6,0.03,true
TC_04,SA,50.0,0.99,0.1,10,5,2,6,0.031,true
TC_04,SA,50.0,0.999,0.1,10,1,1,4,0.054,true
TC_04,SA,50.0,0.999,0.1,10,2,1,4,0.05,true
TC_04,SA,50.0,0.999,0.1,10,3,2,6,0.056,true
TC_04,SA,50.0,0.999,0.1,10,4,1,4,0.047,true
TC_04,SA,50.0,0.999,0.1,10,5,1,4,0.048,true
TC_04,SA,100.0,0.9,0.1,10,1,2,6,0.042,true
TC_04,SA,100.0,0.9,0.1,10,2,2,6,0.041,true
TC_04,SA,100.0,0.9,0.1,10,3,2,6,0.035,true
TC_04,SA,100.0,0.9,0.1,10,4,2,6,0.032,true
TC_04,SA,100.0,0.9,0.1,10,5,2,6,0.037,true
TC_04,SA,100.0,0.95,0.1,10,1,2,6,0.034,true
TC_04,SA,100.0,0.95,0.1,10,2,2,6,0.035,true
TC_04,SA,100.0,0.95,0.1,10,3,2,6,0.034,true
TC_04,SA,100.0,0.95,0.1,10,4,2,6,0.033,true
TC_04,SA,100.0,0.95,0.1,10,5,2,6,0.036,true
TC_04,SA,100.0,0.99,0.1,10,1,2,6,0.038,true
TC_04,SA,100.0,0.99,0.1,10,2,2,6,0.039,true
TC_04,SA,100.0,0.99,0.1,10,3,2,6,0.052,true
TC_04,SA,100.0,0.99,0.1,10,4,2,6,0.04,true
TC_04,SA,100.0,0.99,0.1,10,5,2,6,0.031,true
TC_04,SA,100.0,0.999,0.1,10,1,1,4,0.056,true
TC_04,SA,100.0,0.999,0.1,10,2,1,4,0.062,true
TC_04,SA,100.0,0.999,0.1,10,3,1,4,0.063,true
TC_04,SA,100.0,0.999,0.1,10,4,1,4,0.063,true
TC_04,SA,100.0,0.999,0.1,10,5,1,4,0.066,true
TC_04,SA,200.0,0.9,0.1,10,1,2,6,0.035,true
TC_04,SA,200.0,0.9,0.1,10,2,2,6,0.041,true
TC_04,SA,200.0,0.9,0.1,10,3,2,6,0.042,true
TC_04,SA,200.0,0.9,0.1,10,4,2,6,0.046,true
TC_04,SA,200.0,0.9,0.1,10,5,2,6,0.03,true
TC_04,SA,200.0,0.95,0.1,10,1,2,6,0.036,true
TC_04,SA,200.0,0.95,0.1,10,2,2,6,0.033,true
TC_04,SA,200.0,0.95,0.1,10,3,2,6,0.042,true
TC_04,SA,200.0,0.95,0.1,10,4,2,6,0.041,true
TC_04,SA,200.0,0.95,0.1,10,5,2,6,0.04,true
TC_04,SA,200.0,0.99,0.1,10,1,2,6,0.042,true
TC_04,SA,200.0,0.99,0.1,10,2,2,6,0.044,true
TC_04,SA,200.0,0.99,0.1,10,3,2,6,0.038,true
TC_04,SA,200.0,0.99,0.1,10,4,1,4,0.036,true
